term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Boas, George, 1891-1980",,viaf%%http://viaf.org/viaf/29616712|lcnaf%%http://id.loc.gov/authorities/names/n50008606,1891/1980,,,,,George,,Boas,7cfea71f-ee85-41aa-8d5a-548b230d5964
"Bode, Carl, 1911-1993",,viaf%%http://viaf.org/viaf/91264195|lcnaf%%http://id.loc.gov/authorities/names/n50010049,1911/1993,,,,,Carl,,Bode,4551c3f1-46f9-43ad-848c-47ea6b19cec7
"Boicourt, William C.",,viaf%%http://viaf.org/viaf/67857945|lcnaf%%http://id.loc.gov/authorities/names/n84018658,,,,,,William C.,,Boicourt,2cecec42-af6a-441b-b4e1-dfec5c9fa2f4
"Bolster, C. N.",,,,,,,,C. N.,,Bolster,0dd6afd3-a5e3-469a-9568-b1a1a95b3f19
"Bonnell, Barbara",,,,,,,,Barbara,,Bonnell,59416fd5-b85c-412c-9921-5b41da6ef22f
"Borden, Jesse N.",,,,,,,,Jesse N.,,Borden,ee0eb57b-31e1-4f59-bcf0-6c46b4d13df5
"Bordinat, Gene",,,,,,,,Gene,,Bordinat,6464e9cc-21d8-4b1b-9e35-c6e026dedfef
"Bordley, John E.",,viaf%%http://viaf.org/viaf/47885201|lcnaf%%http://id.loc.gov/authorities/names/n82028380,,,,,,John E.,,Bordley,d9a9f139-7180-45c2-9f19-806db2ea157b
"Borkovich, Katherine H.",,,,,,,,Katherine H.,,Borkovich,9411dab1-2f8d-4613-a451-8d6159aaf565
"Borthwick, H. A. (Harry Alfred), 1898-1974",,viaf%%http://viaf.org/viaf/166714606|lcnaf%%http://id.loc.gov/authorities/names/no2011133994,1898/1974,,Harry Alfred,,,H. A.,,Borthwick,bdee9d8d-02e3-438e-8fbe-7a802fe49f5e
"Bowman, Isaiah, 1878-1950",,viaf%%http://viaf.org/viaf/54208036|lcnaf%%http://id.loc.gov/authorities/names/n80045096,1878/1950,,,,,Isaiah,,Bowman,5f1f9363-a49f-4e79-b240-a0b22fa4695a
Boye,"Location information: San Francisco, CA, CA",,,,,,,,,Boye,c6d55730-1a45-4568-8915-cffb56f01263
"Boyer, Walter C.",,viaf%%http://viaf.org/viaf/91573627,,,,,,Walter C.,,Boyer,b1d53ccd-e0d3-44fe-868d-c8433aa205dd
"Boyle, Don",,,,,,,,Don,,Boyle,29bd3d36-4fd6-4f18-bb75-11bd72dacc87
"Braddock, James",,,,,,,,James,,Braddock,c4ba7500-53ba-46ee-8faa-60fed1a92f70
Brady,,,,,,,,,,Brady,2e999776-7d32-4bc5-8384-4f1091fe59b2
"Bragg, William Lawrence, Sir, 1890-1971",,viaf%%http://viaf.org/viaf/49306596|lcnaf%%http://id.loc.gov/authorities/names/n79109781,1890/1971,,,,Sir,William Lawrence,,Bragg,38eea31d-9f27-40b5-b9bf-afbe26fe32aa
"Brancato, George N.",,viaf%%http://viaf.org/viaf/1523430|lcnaf%%http://id.loc.gov/authorities/names/n87139447,,,,,,George N.,,Brancato,72a33c9f-f5fe-4fa0-81eb-a4727d05cd90
"Brandt, Allen D.",,,,,,,,Allen D.,,Brandt,036ba760-cad4-4416-a07f-dbe1eafb2740
"Brant, A. W. (Albert Wade), 1919-",,viaf%%http://viaf.org/viaf/67816829|lcnaf%%http://id.loc.gov/authorities/names/n82114035,1919/,,Albert Wade,,,A. W.,,Brant,4725fe8a-04a2-4c17-8296-e8d7542353b0
"Breitenbach, Joseph",Location information: New York,,,,,,,Joseph,,Breitenbach,35b6c8e5-c725-4fd7-9f67-73900407fad9
"Briggs, Shirley A.",,,,,,,,Shirley A.,,Briggs,2bb20f14-dc86-456c-acf9-8888e388e1ba
"Broadhead, David",,,,,,,,David,,Broadhead,b8948dd0-db98-43f1-97c6-94a9e7b8dced
Brock,"Location information: Nashville, TN, TN",,,,,,,,,Brock,3ac81b2f-e7f0-44f1-a65e-660222ea32be
"Brödel, Max, 1870-1941",,lcnaf%%http://id.loc.gov/authorities/names/n85055657|viaf%%http://viaf.org/viaf/91395945,1870/1941,,,,,Max,,Brödel,e7f2d86d-16fc-492c-8e4a-9ef000892e60
"Brody, Linda",,viaf%%http://viaf.org/viaf/5182379|lcnaf%%http://id.loc.gov/authorities/names/n79149991,,,,,,Linda,,Brody,4891f80c-a198-4062-927d-71c698a9000c
"Brody, William R.",,viaf%%http://viaf.org/viaf/275335821|lcnaf%%http://id.loc.gov/authorities/names/n82042191,,,,,,William R.,,Brody,e674f196-a8ef-491d-918d-a2c11b5ebfd7
"Broida, Herbert P.",,viaf%%http://viaf.org/viaf/32098704|lcnaf%%http://id.loc.gov/authorities/names/n80090090,,,,,,Herbert P.,,Broida,c1ce74d5-5bc3-4192-b681-2ec33e177284
"Bronk, Detlev W. (Detlev Wulf), 1897-1975",,viaf%%http://viaf.org/viaf/23863944|lcnaf%%http://id.loc.gov/authorities/names/n96053230,1897/1975,,Detlev Wulf,,,Detlev W.,,Bronk,be1bb014-4bde-4901-a1f1-a85cbcbd7394
Brooks,"Location information: Bethesda, MD, MD",,,,,,,,,Brooks,6ca40cc7-3cc6-4433-bbe6-de93a16f3681
"Brown, Jim, 1936-",,,1936/,,,,,Jim,,Brown,7e599ddf-c422-4a4c-b81f-edcd8507da19
"Brown, John, 1800-1859",,viaf%%http://viaf.org/viaf/59091476|lcnaf%%http://id.loc.gov/authorities/names/n79045540,1800/1859,,,,,John,,Brown,b4face84-8819-45d0-870e-e003715e2ad5
Brown,"Location information: New Bedford, MA, MA",,,,,,,,,Brown,f7f01ee6-14c6-4ea0-8137-01c3eb20c405
"Brubeck, Claude B.",,,,,,,,Claude B.,,Brubeck,c670b30f-7583-4b46-982e-e6398d5d475f
Brunel,,,,,,,,,,Brunel,d24f71b8-e669-44c0-a23a-bcbeca2e1f2a
"Brush, Grace Somers",,viaf%%http://viaf.org/viaf/16095298|lcnaf%%http://id.loc.gov/authorities/names/n81088220,,,,,,Grace Somers,,Brush,28c1290d-93dc-445e-b3ea-fbeea3323936
"Bucher, Louis",,,,,,,,Louis,,Bucher,299788da-2e82-4525-a0fa-925c29092f74
"Buchla, Donald",,viaf%%http://viaf.org/viaf/18501044|lcnaf%%http://id.loc.gov/authorities/names/n79072562,,,,,,Donald,,Buchla,fd5bfe8e-03bc-481c-8778-f2288eb63409
"Buck, John",,,,,,,,John,,Buck,b0711c3f-dd6c-4f32-8d9f-f84c450e9584
Buerkle,Associated information: US Army Signal Corps,,,,,,,,,Buerkle,97c55496-e7f7-4b7a-ba18-cd0c57885f3b
