term_name,description,field_authority_link,field_geo_alt_name,field_unique_id
Solar system,,fast%%http://id.worldcat.org/fast/1244288,,d4f54357-5d78-4c4c-9fd0-5db81e81478d
Solar system--Halley's comet,,fast%%http://id.worldcat.org/fast/1241058,,0e97aecc-ae3b-4479-843a-b6ef7b1d548c
Southern Appalachian Region,,fast%%http://id.worldcat.org/fast/1864776,,3807ef23-c658-4417-b3e6-f371d7e7f2ca
Southern California,,fast%%http://id.worldcat.org/fast/1692638|geonames%%http://sws.geonames.org/11071615/|viaf%%http://viaf.org/viaf/315160367,,f16bc1cf-eb1e-4d45-9f0d-fe62aa39fcc3
Soviet Union,,fast%%http://id.worldcat.org/fast/1210281|viaf%%http://viaf.org/viaf/124251745,,7df7b68a-3370-4cc6-8fc9-5a8a56182c50
Spain,,fast%%http://id.worldcat.org/fast/1204303|geonames%%http://sws.geonames.org/2510769/|viaf%%http://viaf.org/viaf/133609710,,2d707bcc-edc1-42a0-82d6-fdba2dff1475
Syria--Dura-Europos (Extinct city),,fast%%http://id.worldcat.org/fast/1896912,,da75011b-1c36-45f1-879c-5256790b671b
Taiwan,,fast%%http://id.worldcat.org/fast/1207854|geonames%%http://sws.geonames.org/1668284/|viaf%%http://viaf.org/viaf/128920774,,0f055867-4f44-41d2-aaab-cb4a368eb3cc
Tanzania,,fast%%http://id.worldcat.org/fast/1210143|geonames%%http://sws.geonames.org/149590/|viaf%%http://viaf.org/viaf/131265957,,4c79e381-c584-4420-a316-00d142502813
Texas,,fast%%http://id.worldcat.org/fast/1210336|viaf%%http://viaf.org/viaf/152620751|geonames%%http://sws.geonames.org/4736286/,,e36ecfd7-baf5-4c3d-9707-c48fd458f15a
Texas--McAllen,,fast%%http://id.worldcat.org/fast/1221785|geonames%%http://sws.geonames.org/4709796/|viaf%%http://viaf.org/viaf/150122384,,8499d316-a51c-439f-99c0-eb851517ee57
Tropics,,fast%%http://id.worldcat.org/fast/1240674,,29f9b816-5678-4059-b774-a82c88ee7156
Uganda,,fast%%http://id.worldcat.org/fast/1210282|geonames%%http://sws.geonames.org/226074/|viaf%%http://viaf.org/viaf/157051895,,efadfa32-21aa-45b3-a6d3-d88b03a337be
United States,,fast%%http://id.worldcat.org/fast/1204155|geonames%%http://sws.geonames.org/6252001/|viaf%%http://viaf.org/viaf/130168302,,a0f038aa-c184-4ab4-8ccb-23ceb4d3c2e4
United States--Chesapeake Bay Region,,fast%%http://id.worldcat.org/fast/1310475,,dbf6175a-a7af-4bfb-9168-7bebc867c1e1
United States--Hoover Dam,,fast%%http://id.worldcat.org/fast/1310299,,f79df0ce-dbd9-4448-9762-85bb8d2d947e
United States--Lake Mead,,fast%%http://id.worldcat.org/fast/1333517,,67a479c0-7acb-4c74-b16b-5317db48253c
United States--Yellowstone National Park,,fast%%http://id.worldcat.org/fast/1285604|geonames%%http://sws.geonames.org/5843642,Yellowstone National Park,44baa84d-5451-4f10-99c2-3da622123d7b
Venus (Planet),,fast%%http://id.worldcat.org/fast/1242235,,c38934c6-22f1-4a35-8491-243427be30a6
Virginia,,fast%%http://id.worldcat.org/fast/1204597|geonames%%http://sws.geonames.org/6254928/,,3646e297-8cc2-4f25-95db-d2ea394889e0
Virginia--Richmond,,fast%%http://id.worldcat.org/fast/1205345|geonames%%http://sws.geonames.org/4781708/|viaf%%http://viaf.org/viaf/140706574,Richmond,23593530-6736-4a5a-b64a-dca3f772cba9
Washington (D.C.),,fast%%http://id.worldcat.org/fast/1204505|geonames%%http://sws.geonames.org/4138106/|viaf%%http://viaf.org/viaf/312739635,"Washington, D.C.",3968db35-09a8-45a9-9caf-02b5146a609b
Washington (State)--Seattle,,fast%%http://id.worldcat.org/fast/1204940|geonames%%http://sws.geonames.org/5809844/|viaf%%http://viaf.org/viaf/128747843,Seattle,beae4be1-8d29-44fd-8337-cea283eee388
West United States,,fast%%http://id.worldcat.org/fast/1243255,,134547e4-7a0c-44be-903b-f2eafb8e5f72
Western Hemisphere,,fast%%http://id.worldcat.org/fast/1245897,,6b1bc4f4-0542-497c-a99b-d1ef00118e4b
